#ExpID,PMID,#Exp,CellLine,Tissue,CellClass,CellCycle,Energy (MeV),RBE,LET (keV/μm),DoseRate (Gy/min),α,β,DSBs/(Gy*Gbp),nonDSBClusters/(Gy*Gbp),1keV_DSBs_1%O2,1keV_Other_1%O2,1keV_DSBs_20%O2,1keV_Other_20%O2,10keV_DSBs_1%O2,10keV_Other_1%O2,10keV_DSBs_20%O2,10keV_Other_20%O2,TypeofRadiation,IrradiationConditions,DSBs_1%O2,Other_1%O2,DSBs_20%O2,Other_20%O2,Source
8,12194286,1,DLD1,Colon,t,a,7,1.27,7.7,N/A,0.47,-0.046,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,7.07,359.24,9.57,390.36,N/A
9,12194286,2,HCT 116,Colon,t,a,7,0.23,7.7,N/A,0.32,0.06,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,7.07,359.24,9.57,390.36,N/A
10,12377347,1,HSG,Salivary Gland,t,a,190,1.02,N/A,N/A,0.206,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.01,384.95,8.15,423.74,N/A
11,12377347,2,HSG,Salivary Gland,t,a,190,1.05,N/A,N/A,0.289,0.032,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.01,384.95,8.15,423.74,N/A
12,15665286,1,HT-1080,Fibroblast,t,a,190,N/A,N/A,N/A,0.184,0.051,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.01,384.95,8.15,423.74,N/A
34,23179376,1,HSG,Salivary Gland,t,a,155,0.95,3.3,N/A,0.157,0.048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.03,384.57,8.17,423.28,N/A
35,23179376,2,HSG,Salivary Gland,t,a,155,0.98,20,N/A,0.164,0.048,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.03,384.57,8.17,423.28,N/A
36,23179376,3,HSG,Salivary Gland,t,a,155,1.01,18,N/A,0.139,0.056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.03,384.57,8.17,423.28,N/A
37,23179376,4,HSG,Salivary Gland,t,a,155,1.08,18,N/A,0.141,0.062,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.03,384.57,8.17,423.28,N/A
38,23640660,1,AG1522,Foreskin,n,a,62,1.22,2,2,0.57,0.047,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
39,23640660,2,AG1522,Foreskin,n,a,62,1.2,6,2,0.53,0.035,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
40,23587329,1,U-CH1,Sacrum,t,a,70,0.89,1,1,0.518,-0.007,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.08,383.07,8.24,421.32,N/A
51,24986743,1,AG1522,Foreskin,n,a,62,1.1,1.11,3,0.75,0.119,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
52,24986743,2,AG1522,Foreskin,n,a,62,2.5,4.02,3,1.02,0.061,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
53,24986743,3,AG1522,Foreskin,n,a,62,2.5,7,3,1.29,0.041,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
54,24986743,4,AG1522,Foreskin,n,a,62,2.6,11.9,3,1.7,0.079,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
55,24986743,5,AG1522,Foreskin,n,a,62,2.8,18,3,1.87,0.074,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
56,24986743,6,AG1522,Foreskin,n,a,62,2.8,22.6,3,2.43,0.057,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
63,24986743,13,U-87,Brain,t,a,62,1.1,1.11,3,0.14,0.064,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
64,24986743,14,U-87,Brain,t,a,62,2.1,4.02,3,0.17,0.065,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
65,24986743,15,U-87,Brain,t,a,62,2.2,7,3,0.22,0.071,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
66,24986743,16,U-87,Brain,t,a,62,2.2,11.9,3,0.44,0.045,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,protons,m,6.1,382.76,8.28,420.93,N/A
